id;name;aggregated_rating;first_release_date
643;Comanche 3;;852076800
644;Microsoft Combat Flight Simulator 2: WWII Pacific Theater;;971395200
645;Combat Mission 2;;1035849600
646;Combat Mission: Beyond Overlord;;959817600
647;Command & Conquer;;809827200
649;Command & Conquer: Generals;;1044835200
653;Commandos 2: Men of Courage;90.0;1000944000
654;Company of Heroes;95.0;1158019200
655;Conquest of the New World;85.0;828230400
656;Crusader: No Regret;;841536000
657;Dark Age of Camelot;100.0;1002672000
659;Dark Reign: The Future of War;;872985600
660;Darkstone;;933379200
661;Darwinia;81.5;1109894400
662;Anno 1404;72.0;1245715200
664;Command & Conquer: Sole Survivor;;880848000
665;Death Rally;60.0;851990400
666;Delta Force;;907113600
667;Descent 3;;929577600
668;Descent II;92.0;826675200
669;Descent: Freespace - The Great War;;890265600
670;Command & Conquer 4: Tiberian Twilight;65.0;1268697600
671;Divine Divinity;83.0;1032652800
674;Dungeons & Dragons: Dragonshard;70.0;1127260800
675;Driver;95.0;930700800
677;EF2000 v2.0;83.0;872985600
678;Empires: Dawn of the Modern World;80.0;1066694400
679;Enemy Engaged;;951868800
680;Enemy Territory: Quake Wars;81.0;1190937600
681;Europa 1400: The Guild;;1035504000
682;Europa Universalis II;;1005523200
683;Europa Universalis III;70.0;1169510400
685;European Air War;;909792000
687;Jane's F/A-18;;946598400
688;F/A-18 Korea;;880848000
689;F1 Challenge '99-'02;;1056412800
690;F1 Championship Season 2000;;976060800
691;F1 Racing Simulation;;891302400
692;Jane's F-15;;888624000
693;F-22 Air Dominance Fighter;;852076800
694;Fable: The Lost Chapters;84.3333333333333;1127174400
695;Falcon 4.0: Allied Force;;1119916800
696;FIFA 07;75.4;1159142400
697;FIFA 2000: Major League Soccer;;938304000
698;FIFA 2001;;973641600
699;FIFA 99;;897436800
700;FIFA 06;70.0;1126396800
701;FIFA Football 2002;;1004572800
702;FIFA Football 2003;60.0;1035504000
703;FIFA Football 2005;82.0;1097193600
704;FIFA Soccer 96;70.0;812419200
705;FIFA: Road to World Cup 98;;852076800
706;Command & Conquer: Renegade;59.0;1014681600
707;Command & Conquer 3: Kane's Wrath;76.6666666666667;1206316800
708;Flanker 2.0;70.0;938649600
709;Flanker 2.5;85.0;1017100800
710;Flash Point Korea: AH-64D Longbow;;849312000
711;Microsoft Flight Simulator 2002 Professional Edition;;1003449600
712;Microsoft Flight Simulator 2004: A Century of Flight;100.0;1059436800
714;Flight Unlimited II;;881884800
715;Flight Unlimited III;;938649600
716;Football Manager 2010;85.0;1256860800
717;Football Manager 2011;82.0;1288915200
718;Forsaken;;891388800
719;Freedom Fighters;70.0;1064534400
720;Freedom Force;90.0;1010534400
721;Freedom Force vs. The 3rd Reich;97.0;1110240000
722;Freespace 2;81.5;938649600
725;Galactic Civilizations II: Dread Lords;86.0;1140480000
726;Ghost Master;67.0;1053648000
727;Grand Prix 3;100.0;967075200
728;Grand Prix II;;841363200
729;Grand Prix Legends;;909792000
730;Grand Theft Auto III;95.0;1003708800
731;Grand Theft Auto IV;88.125;1209427200
732;Grand Theft Auto: San Andreas;93.1428571428571;1098748800
733;Grand Theft Auto: Vice City;94.0;1035676800
734;Ground Control;90.0;959817600
735;Ground Control II: Operation Exodus;76.0;1087516800
736;GT Legends;85.0;1129334400
737;GTR 2 – FIA GT Racing Game;89.6666666666667;1159488000
738;GTR – FIA GT Racing Game;85.0;1115078400
740;Halo: Combat Evolved;86.6666666666667;1005782400
741;Hearts of Iron III;80.0;1249603200
742;Heavy Gear II;;928108800
745;Hexen II Mission Pack: Portal of Praevus;;891302400
746;High Heat Baseball 2000;;922838400
747;HIND: The Russian Combat Helicopter Simulation;;844041600
748;Hitman 2: Silent Assassin;77.0;1033344000
749;Homeworld;90.0;906940800
750;Homeworld 2;75.0;1063670400
752;Hostile Waters: Antaeus Rising;;992390400
753;Icewind Dale;90.0;962236800
754;IL-2 Sturmovik;;1006041600
755;IL-2 Sturmovik: Forgotten Battles;;1046563200
756;IL-2 Sturmovik: Forgotten Battles - Ace;;1078185600
757;Independence War;;879379200
758;Independence War 2: Edge of Chaos;;993168000
760;Interstate '76;;859507200
761;Jack Nicklaus 5;;878256000
